X,CH1,
Second,Volt,
-1.30800e-05,-7.99e-02,
-1.30400e-05,7.99e-02,
-1.30000e-05,0.00e+00,
-1.29600e-05,0.00e+00,
-1.29200e-05,0.00e+00,
-1.28800e-05,0.00e+00,
-1.28400e-05,0.00e+00,
-1.28000e-05,0.00e+00,
-1.27600e-05,0.00e+00,
-1.27200e-05,0.00e+00,
-1.26800e-05,0.00e+00,
-1.26400e-05,0.00e+00,
-1.26000e-05,7.99e-02,
-1.25600e-05,-7.99e-02,
-1.25200e-05,0.00e+00,
-1.24800e-05,-7.99e-02,
-1.24400e-05,7.99e-02,
-1.24000e-05,0.00e+00,
-1.23600e-05,7.99e-02,
-1.23200e-05,0.00e+00,
-1.22800e-05,0.00e+00,
-1.22400e-05,0.00e+00,
-1.22000e-05,0.00e+00,
-1.21600e-05,0.00e+00,
-1.21200e-05,7.99e-02,
-1.20800e-05,0.00e+00,
-1.20400e-05,0.00e+00,
-1.20000e-05,-7.99e-02,
-1.19600e-05,0.00e+00,
-1.19200e-05,0.00e+00,
-1.18800e-05,0.00e+00,
-1.18400e-05,7.99e-02,
-1.18000e-05,0.00e+00,
-1.17600e-05,0.00e+00,
-1.17200e-05,0.00e+00,
-1.16800e-05,0.00e+00,
-1.16400e-05,0.00e+00,
-1.16000e-05,7.99e-02,
-1.15600e-05,0.00e+00,
-1.15200e-05,7.99e-02,
-1.14800e-05,0.00e+00,
-1.14400e-05,7.99e-02,
-1.14000e-05,-7.99e-02,
-1.13600e-05,7.99e-02,
-1.13200e-05,0.00e+00,
-1.12800e-05,0.00e+00,
-1.12400e-05,-7.99e-02,
-1.12000e-05,7.99e-02,
-1.11600e-05,0.00e+00,
-1.11200e-05,0.00e+00,
-1.10800e-05,0.00e+00,
-1.10400e-05,0.00e+00,
-1.10000e-05,0.00e+00,
-1.09600e-05,0.00e+00,
-1.09200e-05,7.99e-02,
-1.08800e-05,0.00e+00,
-1.08400e-05,0.00e+00,
-1.08000e-05,0.00e+00,
-1.07600e-05,0.00e+00,
-1.07200e-05,0.00e+00,
-1.06800e-05,0.00e+00,
-1.06400e-05,0.00e+00,
-1.06000e-05,0.00e+00,
-1.05600e-05,0.00e+00,
-1.05200e-05,7.99e-02,
-1.04800e-05,0.00e+00,
-1.04400e-05,0.00e+00,
-1.04000e-05,7.99e-02,
-1.03600e-05,0.00e+00,
-1.03200e-05,7.99e-02,
-1.02800e-05,7.99e-02,
-1.02400e-05,0.00e+00,
-1.02000e-05,0.00e+00,
-1.01600e-05,0.00e+00,
-1.01200e-05,0.00e+00,
-1.00800e-05,0.00e+00,
-1.00400e-05,0.00e+00,
-9.99999e-06,0.00e+00,
-9.96000e-06,0.00e+00,
-9.92001e-06,7.99e-02,
-9.87999e-06,0.00e+00,
-9.84001e-06,7.99e-02,
-9.79999e-06,0.00e+00,
-9.76000e-06,0.00e+00,
-9.72001e-06,0.00e+00,
-9.67999e-06,0.00e+00,
-9.64000e-06,0.00e+00,
-9.59999e-06,0.00e+00,
-9.56000e-06,0.00e+00,
-9.52001e-06,0.00e+00,
-9.47999e-06,7.99e-02,
-9.44000e-06,0.00e+00,
-9.39999e-06,7.99e-02,
-9.36000e-06,0.00e+00,
-9.32001e-06,0.00e+00,
-9.27999e-06,0.00e+00,
-9.24000e-06,0.00e+00,
-9.20001e-06,0.00e+00,
-9.15999e-06,0.00e+00,
-9.12001e-06,0.00e+00,
-9.07999e-06,0.00e+00,
-9.04000e-06,-7.99e-02,
-9.00001e-06,7.99e-02,
-8.95999e-06,0.00e+00,
-8.92000e-06,7.99e-02,
-8.87999e-06,0.00e+00,
-8.84000e-06,0.00e+00,
-8.80001e-06,0.00e+00,
-8.75999e-06,7.99e-02,
-8.72000e-06,0.00e+00,
-8.67999e-06,0.00e+00,
-8.64000e-06,7.99e-02,
-8.60001e-06,0.00e+00,
-8.55999e-06,7.99e-02,
-8.52000e-06,0.00e+00,
-8.47998e-06,0.00e+00,
-8.44000e-06,0.00e+00,
-8.40001e-06,7.99e-02,
-8.35999e-06,0.00e+00,
-8.32000e-06,0.00e+00,
-8.28001e-06,0.00e+00,
-8.23999e-06,0.00e+00,
-8.20001e-06,0.00e+00,
-8.15999e-06,7.99e-02,
-8.12000e-06,0.00e+00,
-8.08001e-06,7.99e-02,
-8.03999e-06,0.00e+00,
-8.00000e-06,7.99e-02,
-7.95999e-06,0.00e+00,
-7.92000e-06,0.00e+00,
-7.88001e-06,0.00e+00,
-7.83999e-06,0.00e+00,
-7.80000e-06,0.00e+00,
-7.75998e-06,0.00e+00,
-7.72000e-06,7.99e-02,
-7.68001e-06,0.00e+00,
-7.63999e-06,0.00e+00,
-7.60000e-06,-7.99e-02,
-7.56001e-06,7.99e-02,
-7.51999e-06,0.00e+00,
-7.48001e-06,0.00e+00,
-7.43999e-06,0.00e+00,
-7.40000e-06,7.99e-02,
-7.36001e-06,0.00e+00,
-7.31999e-06,0.00e+00,
-7.28000e-06,0.00e+00,
-7.23999e-06,0.00e+00,
-7.20000e-06,0.00e+00,
-7.16001e-06,0.00e+00,
-7.11999e-06,0.00e+00,
-7.08000e-06,0.00e+00,
-7.03998e-06,0.00e+00,
-7.00000e-06,0.00e+00,
-6.96001e-06,0.00e+00,
-6.91999e-06,0.00e+00,
-6.88000e-06,7.99e-02,
-6.84001e-06,0.00e+00,
-6.79999e-06,7.99e-02,
-6.76001e-06,0.00e+00,
-6.71999e-06,7.99e-02,
-6.68000e-06,0.00e+00,
-6.64001e-06,0.00e+00,
-6.59999e-06,0.00e+00,
-6.56000e-06,0.00e+00,
-6.51999e-06,0.00e+00,
-6.48000e-06,0.00e+00,
-6.44001e-06,0.00e+00,
-6.39999e-06,0.00e+00,
-6.36000e-06,0.00e+00,
-6.31999e-06,0.00e+00,
-6.28000e-06,0.00e+00,
-6.24001e-06,0.00e+00,
-6.19999e-06,7.99e-02,
-6.16000e-06,0.00e+00,
-6.12001e-06,0.00e+00,
-6.07999e-06,0.00e+00,
-6.04001e-06,0.00e+00,
-5.99999e-06,0.00e+00,
-5.96000e-06,7.99e-02,
-5.92001e-06,0.00e+00,
-5.87999e-06,0.00e+00,
-5.84000e-06,0.00e+00,
-5.79999e-06,0.00e+00,
-5.76000e-06,0.00e+00,
-5.72001e-06,0.00e+00,
-5.67999e-06,-7.99e-02,
-5.64000e-06,0.00e+00,
-5.59999e-06,0.00e+00,
-5.56000e-06,0.00e+00,
-5.52001e-06,0.00e+00,
-5.47999e-06,0.00e+00,
-5.44000e-06,7.99e-02,
-5.40001e-06,0.00e+00,
-5.36000e-06,0.00e+00,
-5.32001e-06,0.00e+00,
-5.27999e-06,0.00e+00,
-5.24000e-06,0.00e+00,
-5.20001e-06,0.00e+00,
-5.15999e-06,-7.99e-02,
-5.12000e-06,0.00e+00,
-5.07999e-06,0.00e+00,
-5.04000e-06,7.99e-02,
-5.00001e-06,0.00e+00,
-4.95999e-06,7.99e-02,
-4.92000e-06,0.00e+00,
-4.87999e-06,0.00e+00,
-4.84000e-06,0.00e+00,
-4.80001e-06,0.00e+00,
-4.75999e-06,0.00e+00,
-4.72000e-06,-7.99e-02,
-4.67998e-06,0.00e+00,
-4.64000e-06,0.00e+00,
-4.60001e-06,0.00e+00,
-4.55999e-06,0.00e+00,
-4.52000e-06,7.99e-02,
-4.48001e-06,0.00e+00,
-4.43999e-06,0.00e+00,
-4.40001e-06,0.00e+00,
-4.35999e-06,7.99e-02,
-4.32000e-06,0.00e+00,
-4.28001e-06,0.00e+00,
-4.23999e-06,0.00e+00,
-4.20000e-06,0.00e+00,
-4.15999e-06,-7.99e-02,
-4.12000e-06,7.99e-02,
-4.08001e-06,0.00e+00,
-4.03999e-06,0.00e+00,
-4.00000e-06,0.00e+00,
-3.95998e-06,0.00e+00,
-3.92000e-06,0.00e+00,
-3.88001e-06,0.00e+00,
-3.83999e-06,7.99e-02,
-3.80000e-06,7.99e-02,
-3.76001e-06,0.00e+00,
-3.71999e-06,0.00e+00,
-3.68001e-06,0.00e+00,
-3.63999e-06,0.00e+00,
-3.60000e-06,7.99e-02,
-3.56001e-06,0.00e+00,
-3.51999e-06,0.00e+00,
-3.48000e-06,-7.99e-02,
-3.43999e-06,7.99e-02,
-3.40000e-06,0.00e+00,
-3.36001e-06,0.00e+00,
-3.31999e-06,0.00e+00,
-3.28000e-06,0.00e+00,
-3.23998e-06,7.99e-02,
-3.20000e-06,0.00e+00,
-3.16001e-06,0.00e+00,
-3.11999e-06,0.00e+00,
-3.08000e-06,0.00e+00,
-3.04001e-06,0.00e+00,
-2.99999e-06,0.00e+00,
-2.96001e-06,0.00e+00,
-2.91999e-06,7.99e-02,
-2.88000e-06,-7.99e-02,
-2.84001e-06,7.99e-02,
-2.79999e-06,0.00e+00,
-2.76000e-06,0.00e+00,
-2.71999e-06,0.00e+00,
-2.68000e-06,0.00e+00,
-2.64001e-06,0.00e+00,
-2.59999e-06,0.00e+00,
-2.56000e-06,0.00e+00,
-2.51998e-06,0.00e+00,
-2.48000e-06,0.00e+00,
-2.44001e-06,0.00e+00,
-2.39999e-06,7.99e-02,
-2.36000e-06,0.00e+00,
-2.32001e-06,0.00e+00,
-2.27999e-06,0.00e+00,
-2.24001e-06,0.00e+00,
-2.19999e-06,-7.99e-02,
-2.16000e-06,7.99e-02,
-2.12001e-06,-7.99e-02,
-2.07999e-06,7.99e-02,
-2.04000e-06,-7.99e-02,
-1.99999e-06,-7.99e-02,
-1.96000e-06,-7.99e-02,
-1.92001e-06,-7.99e-02,
-1.87999e-06,-7.99e-02,
-1.84000e-06,-7.99e-02,
-1.79999e-06,-7.99e-02,
-1.76000e-06,-7.99e-02,
-1.72001e-06,-7.99e-02,
-1.67999e-06,-7.99e-02,
-1.64000e-06,-7.99e-02,
-1.59998e-06,-7.99e-02,
-1.56000e-06,-7.99e-02,
-1.52001e-06,-7.99e-02,
-1.47999e-06,-7.99e-02,
-1.44000e-06,-7.99e-02,
-1.40001e-06,-7.99e-02,
-1.35999e-06,-7.99e-02,
-1.32000e-06,-7.99e-02,
-1.27999e-06,-7.99e-02,
-1.24000e-06,-7.99e-02,
-1.20001e-06,-7.99e-02,
-1.15999e-06,-7.99e-02,
-1.12000e-06,-2.40e-01,
-1.07999e-06,-7.99e-02,
-1.04000e-06,-2.40e-01,
-1.00001e-06,-7.99e-02,
-9.59991e-07,-7.99e-02,
-9.20002e-07,-2.40e-01,
-8.79984e-07,-7.99e-02,
-8.39995e-07,-7.99e-02,
-8.00007e-07,-2.40e-01,
-7.59989e-07,-7.99e-02,
